SESSION,ANIMAL_ID,grid_50m_ID,SO,SEX
3,FCYellow,665,10,0
3,MDRed,589,11,1
3,FCYellow,662,12,0
3,FIGreen,691,12,0
3,FCGreen,747,13,0
3,MCGreen,516,13,1
3,MDRed,631,13,1
3,FABlack,816,14,0
3,FCGreen,898,14,0
3,MIRed,664,14,1
3,FABlack,700,15,0
3,MIRed,703,15,1
3,MFRed,664,17,1
3,FIGreen,777,18,0
3,FIGreen,778,19,0
3,MIRed,667,19,1
3,MBYellow,661,20,1
3,FCGreen,704,21,0
3,MIRed,701,22,1
3,FDRed,633,23,0
3,MBBlack,770,23,1
3,MIBlue,751,23,1
3,FDBlue,787,24,0
3,MDRed,596,25,1
3,FBGreen,670,26,0
3,FBYellow,779,26,0
3,FCYellow,702,26,0
3,FDBlue,746,26,0
3,FEWhite,894,26,0
3,MDGreen,633,26,1
3,MDRed,671,26,1
3,FCYellow,661,27,0
3,MIRed,704,28,1
3,FBGreen,628,29,0
3,MDGreen,858,29,1
3,FIGreen,730,30,0
3,FDBlue,595,32,0
3,FEWhite,664,32,0
3,FCGreen,822,34,0
3,FDBlue,635,35,0
3,FDBlue,630,36,0
3,MFRed,623,38,1
3,MHYellow,769,39,1
3,MHYellow,772,41,1
3,FEWhite,929,42,0
3,FCGreen,704,43,0
3,MFRed,772,43,1
3,MIRed,780,44,1
3,FBGreen,820,46,0
3,MDGreen,819,46,1
3,FDBlue,595,47,0
3,FEWhite,663,47,0
3,FCGreen,969,48,0
3,FHBlue,628,49,0
3,MDRed,748,50,1
3,FDBlue,786,51,0
4,FBGreen,632,1,0
4,FEGreen,741,1,0
4,FIBlue,626,1,0
4,MDGreen,663,1,1
4,MFRed,626,1,1
4,MHYellow,626,1,1
4,MIRed,971,1,1
4,FDGreen,662,2,0
4,FEGreen,741,2,0
4,FDGreen,625,3,0
4,FHBlue,587,3,0
4,MDRed,624,3,1
4,MIRed,587,3,1
4,FCYellow,739,4,0
4,FEGreen,703,4,0
4,FHBlue,625,4,0
4,MDGreen,739,4,1
4,MDRed,701,4,1
4,MHYellow,625,4,1
4,MIRed,628,4,1
4,FBGreen,670,5,0
4,FFWhite,593,5,0
4,FHBlue,628,5,0
4,FHBlue,628,6,0
4,MDRed,591,6,1
4,MHYellow,628,6,1
4,FEGreen,703,7,0
4,FHBlue,627,7,0
4,MHYellow,702,7,1
4,FBGreen,669,8,0
4,FEGreen,739,8,0
4,FCYellow,590,9,0
4,MFRed,590,9,1
4,MIRed,590,9,1
4,FCRed,628,10,0
4,FCYellow,626,10,0
4,FDGreen,664,10,0
4,FFYellow,703,10,0
4,FHBlue,669,10,0
4,MBRed,628,10,1
4,MDRed,702,10,1
4,MFRed,627,10,1
4,MIRed,626,10,1
4,FBGreen,631,11,0
4,FFYellow,704,11,0
4,FCYellow,663,12,0
4,MDRed,671,12,1
4,FCYellow,699,13,0
4,FEGreen,704,13,0
4,MHYellow,771,13,1
4,FEGreen,665,14,0
4,FFRed,729,14,0
4,FFRed,768,15,0
4,FEGreen,665,16,0
4,MDRed,778,17,1
4,MIRed,665,18,1
4,FEGreen,665,19,0
4,FEGreen,664,20,0
4,FFYellow,665,20,0
4,FFYellow,627,21,0
4,MIRed,784,21,1
4,FCYellow,701,22,0
