grid_50m_ID,X,Y,SO.1,SO.2,SO.3,SO.4,SO.5,SO.6,SO.7,SO.8,SO.9,SO.10,SO.11,SO.12,SO.13,SO.14,sep,hab
505,469.6009048,351.8390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
506,469.6509048,351.8390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
507,469.7009048,351.8390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
508,469.7509048,351.8390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
509,469.8009048,351.8390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
510,469.8509048,351.8390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
511,469.9009048,351.8390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
512,469.9509048,351.8390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
513,470.0009048,351.8390519,0,0,0,1,0,1,0,0,0,0,0,0,0,0,/,Pasture
514,470.0509048,351.8390519,0,0,0,1,0,1,0,0,0,0,0,0,0,0,/,Pasture
515,470.1009048,351.8390519,0,0,0,1,0,1,0,0,0,0,0,0,0,0,/,Pasture
516,470.1509048,351.8390519,0,0,0,1,0,1,0,0,0,0,0,0,0,0,/,Pasture
